Canal de Venda,Mes_Ano,Média,Mediana
Porta a Porta,01/2017,31320.569487223205,28823.025304702787
Porta a Porta,02/2017,31710.148886151375,29711.580145925567
Porta a Porta,03/2017,31055.939762396734,30488.191027232337
Porta a Porta,04/2017,33319.496262543136,32421.609417997162
Porta a Porta,11/2016,34638.07179648989,30262.9779680581
Porta a Porta,12/2016,28615.452500146082,25527.519294582755
TeleVenda,01/2017,32868.88142893844,19085.123237539552
TeleVenda,02/2017,32208.445818350272,18926.69023166578
TeleVenda,03/2017,32132.246712118333,18666.87996923318
TeleVenda,04/2017,35795.781915059895,28091.885619205026
TeleVenda,11/2016,30963.459348900647,18757.707785280276
TeleVenda,12/2016,28045.721461471967,17567.600937751726
Telégrafo,01/2017,4234.022566694851,3782.248867662558
Telégrafo,02/2017,4307.626272827682,4045.8931311515526
Telégrafo,03/2017,4568.148530922108,4345.559552216315
Telégrafo,04/2017,3778.5918347312363,3458.8846660540144
Telégrafo,11/2016,4614.310075629995,4029.1321305130978
Telégrafo,12/2016,5212.6480551230825,4227.5779481237205
