nm_empresa,Quantidade de voos
AZUL LINHAS AÉREAS BRASILEIRAS S/A,14943
TAM LINHAS AÉREAS S.A.,8144
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),6892
SIDERAL LINHAS AÉREAS LTDA.,709
PASSAREDO TRANSPORTES AÉREOS S.A.,616
TWO TÁXI AÉREO LTDA.,546
ABSA - AEROLINHAS BRASILEIRAS S.A.,355
MAP TRANSPORTES AÉREOS LTDA.,319
TAP - TRANSPORTES AÉREOS PORTUGUESES S/A,299
COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES),276
"UNITED AIRLINES, INC",203
LAN CARGO S.A.,182
TOTAL LINHAS AÉREAS S.A.,161
"AMERICAN AIRLINES, INC.",160
QATAR AIRWAYS GROUP,132
EMIRATES,127
ATLAS AIR INC,122
ETHIOPIAN AIRLINES GROUP,114
LUFTHANSA CARGO AG,113
KLM CIA. REAL HOLANDESA DE AVIAÇÃO,113
UPS - UNITED PARCEL SERVICE CO.,105
TURKISH AIRLINES INC,103
MODERN TRANSPORTE AEREO DE CARGA S.A,102
CARGOLUX AIRLINES INTERNATIONAL S/A,100
KOREAN AIR LINES CO. LTD.,95
MARTINAIR HOLLAND N.V.,80
LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO,75
SOCIÉTÉ AIR FRANCE,73
DEUTSCHE LUFTHANSA A.G.,70
SWISS INTERNATIONAL AIR LINES LTD.,70
DELTA AIR LINES INC.,69
TAMPA CARGO S.A.,69
AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO,66
FEDEX - FEDERAL EXPRESS CORPORATION,65
IBÉRIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,62
BOA BOLIVIANA DE AVIACIÓN,36
LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),29
TRANSPORTE AÉREOS DEL MERCOSUR S.A. (TAM MERCOSUR),26
AEROLINEAS ARGENTINAS S/A,25
AIR CANADA,24
AIR EXPRESS S.A. (AIR CLASS LINEAS AEREAS) / EX-AERO V.I.P. LTDA,22
FLY PRO S.R.L.,22
LAN PERU S.A.,21
ALITALIA SOCIETA AEREA ITALIANA S.P.A.,21
KALITTA AIR LLC,16
AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,15
BRITISH AIRWAYS PLC,15
SOUTHERN AIR INC,12
ESTELAR LATINOAMERICA C.A.,12
VOLGA DNEPR AIRLINES,10
COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.,8
TUI AIRLINES NEDERLAND BV,6
TUI AIRLINES BELGIUM - JETAIRFLY,6
SERVICIO AEREO REGIONAL REGAIR AIR LTDA,6
COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),6
"SWIFT AIR, LLC",5
SKY AIRLINES S.A.,4
"RUTAS AÉREAS, CA - RUTACA",4
ANTONOV COMPANY,4
PLUS ULTRA LÍNEAS AÉREAS S/A,4
ETIHAD AIRWAYS P.J.S.C.,3
AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.,2
SURINAM AIRWAYS LTD,2
AMERICAN JET S.A.,2
AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,2
