,nm_empresa,sg_iata_origem,nm_municipio_origem,sg_iata_destino,nm_municipio_destino,Quantidade de Voos
9,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),SDU,RIO DE JANEIRO,CGH,SÃO PAULO,168
11,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),CGH,SÃO PAULO,SDU,RIO DE JANEIRO,166
50,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,BSB,BRASÍLIA,102
51,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),BSB,BRASÍLIA,GRU,GUARULHOS,100
58,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),CNF,CONFINS,GRU,GUARULHOS,98
59,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),REC,RECIFE,GRU,GUARULHOS,98
60,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,REC,RECIFE,97
61,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),POA,PORTO ALEGRE,GRU,GUARULHOS,97
62,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,CNF,CONFINS,97
63,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),FLN,FLORIANÓPOLIS,GRU,GUARULHOS,96
64,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,FLN,FLORIANÓPOLIS,96
65,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,POA,PORTO ALEGRE,96
67,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GRU,GUARULHOS,FOR,FORTALEZA,95
69,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),FOR,FORTALEZA,GRU,GUARULHOS,95
70,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),CWB,SÃO JOSÉ DOS PINHAIS,GRU,GUARULHOS,94
